                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.681,                 3.7294,                 1.7219,                0.85094,                  0.875,                0.85099,                0.64555,                0.92554,                 4.9389,                 1.2496,                0.00016,                0.00016,                0.00016
                      2,                 1.1454,                 2.1758,                 1.3874,                0.71655,                0.63242,                 0.6701,                0.48905,                0.94681,                  4.735,                 1.2032,             0.00033663,             0.00033663,             0.00033663
                      3,                 1.1127,                 1.6736,                 1.3523,                  0.597,                 0.4375,                0.45809,                0.31597,                  1.251,                 3.2167,                 1.4788,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.1873,                 1.4679,                 1.4314,                0.63861,                 0.5625,                 0.5237,                 0.3696,                 1.4909,                 2.2812,                 1.6064,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.2825,                  1.577,                 1.4693,                      1,                  0.375,                0.73912,                0.43323,                 1.3935,                 9.6038,                 2.1042,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.2044,                 1.4289,                 1.4172,                      1,                   0.25,                0.57371,                0.30985,                 1.5096,                  9.639,                 1.9144,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.2324,                 1.3103,                 1.4417,                0.22342,                 0.4375,                0.22356,                0.07659,                 2.1878,                 14.635,                  3.262,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.3083,                 1.4642,                 1.4902,                0.31157,                 0.3125,                0.28586,                0.15691,                 2.2777,                 6.0909,                 3.4476,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.3325,                 1.4078,                 1.5189,                0.33333,                 0.3125,                0.12741,                0.04029,                 2.7009,                 91.934,                 4.8672,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.2983,                 1.2547,                 1.4988,                0.02581,                   0.25,                0.01753,                0.00533,                 3.5439,                 341.74,                 7.6302,              0.0016214,              0.0016214,              0.0016214
                     11,                  1.422,                 1.4894,                 1.6048,                0.00193,                 0.0625,                0.00063,                0.00012,                 5.2628,                 994.25,                 18.083,               0.001766,               0.001766,               0.001766
